# 盲文点位（U+2800–U+28FF）。由 Unicode 官方字符名机械生成，无需人工校对。
# 点号之间留空格，中文引擎才会逐位读成「一二四五」而不是「一千二百四十五」。
28E9	点 1 4 6 7 8	盲文 点 1 4 6 7 8	# BRAILLE PATTERN DOTS-14678
28EA	点 2 4 6 7 8	盲文 点 2 4 6 7 8	# BRAILLE PATTERN DOTS-24678
28EB	点 1 2 4 6 7 8	盲文 点 1 2 4 6 7 8	# BRAILLE PATTERN DOTS-124678
28EC	点 3 4 6 7 8	盲文 点 3 4 6 7 8	# BRAILLE PATTERN DOTS-34678
28ED	点 1 3 4 6 7 8	盲文 点 1 3 4 6 7 8	# BRAILLE PATTERN DOTS-134678
28EE	点 2 3 4 6 7 8	盲文 点 2 3 4 6 7 8	# BRAILLE PATTERN DOTS-234678
28EF	点 1 2 3 4 6 7 8	盲文 点 1 2 3 4 6 7 8	# BRAILLE PATTERN DOTS-1234678
28F0	点 5 6 7 8	盲文 点 5 6 7 8	# BRAILLE PATTERN DOTS-5678
28F1	点 1 5 6 7 8	盲文 点 1 5 6 7 8	# BRAILLE PATTERN DOTS-15678
28F2	点 2 5 6 7 8	盲文 点 2 5 6 7 8	# BRAILLE PATTERN DOTS-25678
28F3	点 1 2 5 6 7 8	盲文 点 1 2 5 6 7 8	# BRAILLE PATTERN DOTS-125678
28F4	点 3 5 6 7 8	盲文 点 3 5 6 7 8	# BRAILLE PATTERN DOTS-35678
28F5	点 1 3 5 6 7 8	盲文 点 1 3 5 6 7 8	# BRAILLE PATTERN DOTS-135678
28F6	点 2 3 5 6 7 8	盲文 点 2 3 5 6 7 8	# BRAILLE PATTERN DOTS-235678
28F7	点 1 2 3 5 6 7 8	盲文 点 1 2 3 5 6 7 8	# BRAILLE PATTERN DOTS-1235678
28F8	点 4 5 6 7 8	盲文 点 4 5 6 7 8	# BRAILLE PATTERN DOTS-45678
28F9	点 1 4 5 6 7 8	盲文 点 1 4 5 6 7 8	# BRAILLE PATTERN DOTS-145678
28FA	点 2 4 5 6 7 8	盲文 点 2 4 5 6 7 8	# BRAILLE PATTERN DOTS-245678
28FB	点 1 2 4 5 6 7 8	盲文 点 1 2 4 5 6 7 8	# BRAILLE PATTERN DOTS-1245678
28FC	点 3 4 5 6 7 8	盲文 点 3 4 5 6 7 8	# BRAILLE PATTERN DOTS-345678
28FD	点 1 3 4 5 6 7 8	盲文 点 1 3 4 5 6 7 8	# BRAILLE PATTERN DOTS-1345678
28FE	点 2 3 4 5 6 7 8	盲文 点 2 3 4 5 6 7 8	# BRAILLE PATTERN DOTS-2345678
28FF	点 1 2 3 4 5 6 7 8	盲文 点 1 2 3 4 5 6 7 8	# BRAILLE PATTERN DOTS-12345678
